,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.1,0.13,0.06,0.1,0.14,0.1,0.14,0.21,0.24,0.15,0.15,0.25,0.35,0.35,0.31,0.31,1.25,0.82,0.65,0.45,5.09,3.14,2.3,1.42
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.51,2.25,2.47,2.72,2.84,3.58,4.35,4.6,5.14,6.36,7.57,9.39,8.58,14.02,16.82,18.95,22.19,25.41,31.11,35.84,41.34,51.69,62.79,74.11
iowait,0.03,0.02,0.0,0.12,0.01,0.01,0.0,0.41,0.03,0.01,0.01,0.47,0.02,0.03,0.01,0.01,0.03,0.03,0.01,0.01,0.04,0.04,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.36,97.61,97.47,97.06,97.0,96.31,95.51,94.78,94.6,93.48,92.27,89.89,91.04,85.6,82.85,80.74,76.52,73.74,68.23,63.69,53.54,45.13,34.88,24.45
throughput,4874.92,5019.01,4943.06,4438.41,8284.0,8433.13,8237.09,6912.71,10513.1,10787.42,10692.52,9583.29,11446.16,11620.11,11380.54,11210.52,10471.21,10785.84,10820.17,10716.8,7263.35,7662.23,7771.6,7873.15
latency(x1M),1237.0,2497.0,4969.0,9583.0,1899.0,3815.0,7655.0,14347.0,5351.0,10717.0,21780.0,41638.0,13711.0,27645.0,57330.0,116511.0,3306.0,6050.0,12258.0,24149.0,3669.0,6052.0,10845.0,20406.0
m_count,72503.0,143147.0,283339.0,565588.0,72758.0,143174.0,283887.0,565517.0,74947.0,145033.0,285603.0,566819.0,78720.0,149083.0,289500.0,570482.0,87484.0,157794.0,298438.0,579662.0,107095.0,177239.0,318018.0,599372.0
n_time,6348.0,12637.0,25881.0,56327.0,7535.0,15093.0,30510.0,71357.0,11807.0,23687.0,47924.0,104089.0,21755.0,43883.0,89547.0,181526.0,45316.0,92278.0,188674.0,383748.0,119333.0,248345.0,509257.0,1036611.0
n_count,4823.0,9045.0,17485.0,34467.0,4971.0,9170.0,17556.0,34771.0,5362.0,9533.0,17894.0,34610.0,6110.0,10300.0,18632.0,35286.0,7651.0,11886.0,20245.0,37005.0,10899.0,15114.0,23520.0,40397.0
o_time,3410.0,6840.0,13978.0,27870.0,4320.0,8699.0,17539.0,34097.0,8234.0,16557.0,33474.0,64593.0,18048.0,36504.0,74545.0,150807.0,41119.0,83950.0,171785.0,349232.0,113605.0,236995.0,485674.0,989576.0
o_count,1048638.0,2097280.0,4194581.0,8389212.0,1048634.0,2097265.0,4194527.0,8389085.0,1048646.0,2097264.0,4194507.0,8388993.0,1048635.0,2097264.0,4194490.0,8388940.0,1048635.0,2097301.0,4194543.0,8389066.0,1048743.0,2097394.0,4194673.0,8389284.0
