,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.07,0.09,0.06,0.08,0.1,0.1,0.12,0.09,0.16,0.12,0.17,0.17,0.29,0.24,0.19,0.27,0.95,0.6,0.47,0.85,2.86,2.1,1.41,0.98
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.3,2.25,2.63,2.67,3.28,4.15,5.03,5.22,7.25,8.11,9.51,10.3,11.59,16.11,18.61,19.91,27.76,30.64,38.97,41.2,50.68,65.0,75.17,79.93
iowait,0.02,0.0,0.04,0.1,0.01,0.0,0.11,0.17,0.01,0.01,0.0,0.0,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.05,0.03,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.62,97.65,97.27,97.15,96.61,95.75,94.73,94.51,92.58,91.76,90.32,89.53,88.1,83.63,81.19,79.82,71.26,68.75,60.54,57.94,46.43,32.86,23.39,19.07
throughput,4780.16,4680.1,4812.14,4437.7,6013.06,6038.09,5966.76,5648.12,6102.55,6145.42,6085.8,5974.32,6199.45,6227.43,6176.93,6139.22,5497.26,5536.41,5514.29,5511.8,3973.75,4010.95,4017.47,4013.11
latency(x1M),1140.0,2827.0,5830.0,11129.0,8021.0,9314.0,18592.0,34955.0,25023.0,27398.0,54991.0,110271.0,68769.0,62014.0,124536.0,249670.0,160276.0,148840.0,296178.0,592301.0,416014.0,436308.0,854153.0,1696098.0
m_count,48116.0,119118.0,236892.0,471980.0,237390.0,120016.0,237522.0,472414.0,238843.0,122083.0,239477.0,474598.0,242176.0,126124.0,243436.0,478350.0,249528.0,134714.0,252284.0,488397.0,265810.0,154713.0,272552.0,508216.0
n_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
