,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.07,0.06,0.08,0.07,0.13,0.09,0.21,0.21,0.2,0.16,0.16,0.24,0.36,0.32,0.28,0.21,1.16,0.78,0.57,0.41,3.95,3.91,2.94,1.91
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.37,2.04,2.39,2.72,2.34,3.39,4.16,4.44,4.53,6.63,7.86,9.39,8.11,13.35,15.67,19.32,23.0,27.41,34.4,38.9,36.42,48.12,59.6,69.91
iowait,0.01,0.01,0.0,0.18,0.01,0.01,0.0,0.51,0.01,0.01,0.01,0.17,0.03,0.02,0.02,0.01,0.04,0.03,0.02,0.01,0.05,0.03,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.55,97.89,97.53,97.03,97.52,96.52,95.62,94.84,95.25,93.2,91.97,90.21,91.5,86.31,84.04,80.46,75.81,71.78,65.0,60.68,59.58,47.94,37.43,28.15
throughput,5665.59,5711.36,5451.03,4887.93,9042.92,9238.01,8737.36,7233.57,9556.21,9689.09,9717.33,9204.44,9658.67,9734.91,9771.06,9786.85,7294.76,7604.45,7684.5,7678.59,4586.73,4855.86,4990.43,5071.48
latency(x1M),587.0,1146.0,2292.0,4499.0,1551.0,3119.0,6090.0,10316.0,7909.0,16001.0,32045.0,62176.0,21341.0,42618.0,84995.0,169323.0,66265.0,124461.0,243055.0,482090.0,237821.0,430510.0,815309.0,1586457.0
m_count,71957.0,142378.0,283295.0,565254.0,72876.0,143107.0,283739.0,565349.0,74684.0,145000.0,285662.0,566912.0,78973.0,148982.0,289610.0,570894.0,87494.0,157769.0,298432.0,579874.0,107058.0,177105.0,318031.0,599029.0
n_time,5632.0,11256.0,23126.0,52393.0,6941.0,13900.0,27977.0,67633.0,13084.0,26390.0,53115.0,108907.0,25828.0,52336.0,105412.0,211595.0,66596.0,132494.0,266718.0,537127.0,198688.0,401864.0,808006.0,1622650.0
n_count,4824.0,9023.0,17471.0,34368.0,4994.0,9163.0,17554.0,34369.0,5355.0,9539.0,17926.0,34641.0,6158.0,10300.0,18675.0,35605.0,7701.0,11922.0,20301.0,37065.0,10947.0,15088.0,23517.0,40270.0
o_time,2889.0,5825.0,11954.0,23990.0,4103.0,8255.0,16506.0,31150.0,10362.0,20965.0,42087.0,82489.0,23017.0,46769.0,94161.0,188515.0,62611.0,124496.0,250367.0,503566.0,193657.0,391332.0,785467.0,1576021.0
o_count,1048653.0,2097283.0,4194580.0,8389158.0,1048653.0,2097265.0,4194525.0,8389067.0,1048635.0,2097265.0,4194526.0,8389011.0,1048670.0,2097265.0,4194527.0,8389008.0,1048670.0,2097320.0,4194581.0,8389102.0,1048780.0,2097377.0,4194672.0,8389194.0
